File,ground_truth,wav2vec2,IC,Ourmodel
02000010001_chunk_019.wav,और सामने जो मुझे दिख रही हैं,आय और सामने ज मुझे दिख रही हैंकि,और सामने के बजे देख रही हैं,और सामने ज मुझे दिख रही ै
02000010001_chunk_028.wav,तो ये,तो ये,तो ये,तो ये
02000010001_chunk_032.wav,लाइन में रो में बड़े बड़े पड़े हुए हैं,लाइन में रो में बड़ेबड़े पेड़ पड़े हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हुए हैं,लाइन में रो में बड़े बड़े पेड़ पड़े हू
02000010001_chunk_062.wav,इसका ये,इसका ये,इसका ये,
02000010001_chunk_079.wav,सर्दियों में खूब अच्छे से पीला फूल देगी,डी आसर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी,सर्दियों में खूब अच्छे से पीला फूल देगी
02000010001_chunk_102.wav,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है,रें मुझे ये पर्सनलही ये साइस काफी अच्छा लगता है,मुझे ये पर्सनली य साइज़ काफ़ी अच्छा लगता है,मुझे ये पर्सनली ये साइज काफी अच्छा लगता है
02000010001_chunk_241.wav,ये मैं पेंट जो मेरे छत का पेंट का कलर मैं चूज़ करती हूं वो कराती रहती हूं पहले ये पैरेंट ग्रीन थे अबी होगा और उससे क्या होता है,े ये मैं पेंट जो मेरे छत का पेंट का कलर में छूस करती हूं वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगे और उसे क्या होताहै,ये मैं पेंट जो मेरे छत का पेंंट का कलर मैं चूज़ करती हूँ वो कराती रहती हूँ पहले ये पैरेड ग्रीन थे अभी हो गए और उससे क्या होते है,ये मैं पेंट जो मेरे छत का पेंट का कलर में चूज करती हू वो कराती रहती हूं पहले ये पैरेट ग्रीन थे अभी होगए और उससे क्या हता
02000100001_chunk_008.wav,इस वीडियो को शुरू करने से पहले हम आपको एक अप्प की जानकारी देना चाहते हैं,ै इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहत ैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं,इस वीडियो को शुरू करने से पहले हम आपको एक ऐप की जानकारी देना चाहते हैं
02000100001_chunk_033.wav,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गांव पहुँचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाकर काम करें तो उस वक्तो एकटाटा चाय चायबगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गाँव पहुंचे और पिताजी को बोले कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर परे जाके काम करें तो उस वक्त तो एक टाटा चाय चाय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गाँव में और जब हम गाँव पहुँंचे और पिताजी को बोलेें कि मुझे खेती करना है,तो बचपन से ही मेरी इच्छा थी कि हम घर पे जाके काम करें तो उस वक्त त एकटाटा चा ाहय बगान मुनार में नौकरी भी लगी लेकिन मेरा दिल था गांव में और जब हम गांव पहुंचे और पिताजी को बोले कि मुझे खेती करना है
02000100001_chunk_040.wav,और इससे भी आप फल जब होते थे तो पिताजी को,और इसे भी आ फल जब होते थे तो पिता जी को,और इससे भी फल जब होते थे तोो पिताजी को,और इससे भी फल जब होते थे तो पिता जी को
02000100001_chunk_083.wav,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और यह सिर्फ माइक्रो इरीगेशन के बदौलत था,जिस लिची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब लाख तपह हमने पहुँचा दिया और ये सिर्फ माइक्रोरिगेशन की बदौलत था,जिस लीची के बाग को हम छः लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुँचा दिया और ये सिर्फ माइक्रोजिगेशन का बदौलत था,जिस लीची के बाग को हम छह लाख सात लाख में बेचते थे उसको एक समय आया जब बत्तीस लाख तक हमने पहुंचा दिया और ये सिर्फ माइक्रो इरिगेशन की बदौलत था
02000100001_chunk_089.wav,डिपेंडिंग उपों डिस्टेंस पाइप का डायमीटर चेंज,ै डिपेंडिंग अपान डिस्टेंस पाइप का डायोमीटर चेंज,डिपेंडिंग अपन डिस्टेंस पाइप का डायमीटड चेंज,डिपेंडिंग अपान डिस्टेंस पाइप का डायोमीटर चेंज है
02000100001_chunk_122.wav,और बाकी कोई चीज में नही देना है है,और बाकी कोई चीज में नहीं देना है,और बाकी कोई चीज़ में नहीं देना है,और बाकी कोई चीज में नहीं देना है
02000100001_chunk_160.wav,डी बोरवेल पम्प जिसमें,आ डी बोरवेल पंप जिसमें,डी बोरवेल पंप जिसमें,डी बोरवेल पंप जिसमें
02000100001_chunk_175.wav,और उसको एडवांस में पर्चेज करते रखना सो थाट की पीक सीजन में अगर कोई भी मुसीबत आए मशीन में तो उसका क्रिटिकल स्पेयर पार्ट्स हमारे पास रहना चाहिए क्योंकि यहां रिपेयर भी हम लोग खुद,ा और उसको एडवांस में पर्चेज करके रखना सोदैट की पीक सीजन में अगर कोई भी मोसीबत आए मशीन में तो उसका क्रिटिकल स्पेयरपाट हमारे पास रहना चाहिए क्योंकि यहां रिपेयर भी हमलोग खुद का,और उसको एडवांस में परचेज करके रखना सो डाट की पीक सीज़न में अगर कोई भी मुसीीबत आए मशीन में तो उसका क्रर्टिकल स्पेयर पार््ट हमारे पास रहना चाहिए क्योंकि यहाँ रिपेयर भी हम लोग खुद,और उसको एडवांस मे पर्चेज करके रखना सोदैट की पीक सीजन में अगर कोई भी मोसीबत आए मशीन में तो उसका क्रिटिकल स्पेरपाटस हमारे पास रहना चाहिए क्योंकि यहां रिपेयर भी हम लोग कोत हैं
02000100001_chunk_212.wav,क्योंकि उससे हमको प्रीमियम चाहिए,े क्योंकि उसे हमको प्रीमियम चाहिए,क्योंकि उससे हमको प्रीमियम चाहिए,क्योंकि उससे हमको प्रीमियम चाहिए
02000100001_chunk_217.wav,बैंगलोर भेजे हैं और,आम बैगलोर भेजे हैं और,बैंगलोर भेजे हैं और,बैललोर भेजे हैं और
02000100001_chunk_287.wav,और तीसरा,और तीसरा,और तीसरा,और तीसरा
02000100001_chunk_299.wav,इनकम हो सकता है,इनकम हो सकता है,इनकम हो सकता है,इनकम हो सकता है
02000100001_chunk_307.wav,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइक चैनल को सब्सक्राइब और देखते रहिये ये हेलो किसान,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइक चैनल को सब्स्क्राइब और देखते रहिए हएलो किसान,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइक चैनल को सब्सक्राइब और देखते रहहीिए ऐलो किसान,और अगर खेती के बारे में चाहिए और भी ज्ञान तो इस वीडियो को करें लाइव चैनल को सब्सक्राइब और देखते रहिए हेलो किसान
02000210001_chunk_018.wav,कृषक जगत की ओर से किसान चैनल की ओर से किसान,कृषक जगत की ओर से किसान चैनल की ओर से किसान,कृषक जगत की ओर से किसान चे्नन की ओर से किसान,कृषक जगत की ओर से किसान चैनल की ओर से किसान
02000210001_chunk_026.wav,सभी जगह पर बारिश के मौसम में जब नए पशु बाल अवस्था में जब पैदा हो ते हैं,सभी जगह पर बारिश के खौपन में जब नए पशु व बाल अवस्था में जब पैदा होते हैं,सभी जगह पर बारिश के इस मौसम में जब नए पशु बाल अवस्था में जब पैदा होते हैं,सभी जगह पर बारिश के फोफन में जब नए पशु बाल अवस्था में जब पैदा होते हैं
02000210001_chunk_034.wav,आपके लेख कृषक जगत में दूरदर्शन में आकाशवाणी में और अन्य,आपके काफी लेख उषक जगत में दूरदर्शन में आकाशवाणी में और अन्य,आपके काफ़ी लेखषक जगत में दूरदर्शन में आकाशवाणी में और अन्य,आपके काफी लेख दूषक जगत में दूरदर्शन में आकाशवाणी में और ्य
02000210001_chunk_038.wav,और काफी हिनदी प्रदेशों में भी देखा जा रहा है,और काफी हिन्दी प्रदेशों में भी देखा जा रहा है,और काफ़ी हिंदी प्रदेशों में भी देखा जा रहा है,और काफी हिंदी प्रदेशों में भी देखा जा रहा है
02000210001_chunk_042.wav,हम आपसे डक्टर साहब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर साथ से पूछ सकेंगे,हम आपसे डक्साब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर साप से पूछ सकेंगे,हम आपसे डॉक्टर साहब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर साहब से पूछ सकेंगे,हम आपसे डॉक्साब के लेक्चर के बाद प्रश्नोत्तरी कार्यक्रम के जब आप अपनी समस्याएं डॉक्टर िसाब से पूछ सकेंगे
02000210001_chunk_050.wav,किसान भाइयों पशु पालक भाइयों सभी जो दर्शक जो मुझसे जुड़े हुए हैं,किसान भाइयों पशुपालक भाइयों सभी जो दर्शक जो मझसे जुड़े हुए हैं,किसान भाइयों पशुपालक भाइयों सभी जो दर्शक जो मुझसे जुड़े हुए हैं,किसान भाइयों पशुपालक भाइयों सभी जो दर्शक जो मुझसे जुड़े हुए हैं
02000210001_chunk_052.wav,इस माध्यम के जरिेये जो वैज्ञानिक जानकारिया हैं आधुनिक जानकारियाँ हैं उसे पशुपालकों और किसानों को दोचार कराना,ए इस माध्यम के जरिे जो वैज्ञानिक जानकारियाँ हैं आधुनिक जानकारियाँ हैं उसे पशुपालकों और किसानों को दोचार कराना,इस माध्यम के ज़रिए जो वैज्ञानिक जानकारियाँ हैं आधुनिक जानकारियाँ हैं उससे पशुपालकों और किसानों को दोजार कराना,इस माध्यम के जरिए जो वैज्ञानिक जानकारियां हैं आधुनिक जानकारियां हैं उससे पशुपालकों और किसानों को दोचार कराना
02000210001_chunk_068.wav,जैसा कि सचिन भाई ने बताया कि यदि नवजात शिशु आज नहीं होंगे या हम उनको जिंदा नहीं रख पाएंगे तो कल के,जैसेकि सचिन भाई ने बताया कि यदि नौजात शिशु आजसे नहीं होंगे या हम उनको जिंदा नहीं रख पाएंगे तो कल के,जैसा कि सचिन भाई ने बताया कि यदि नवजात शिशु आद से नहीं होंगे या हम उनको ज़िंदा नहीं रख पाएंगे तो कल के,जैसा कि सचिन भाई ने बताया कि यदि नौजात शिशु आज से नहीं होंगे या हम उनको जिंदा नहीं रख पाएंगे तो कल के
02000210001_chunk_075.wav,सबसे पहले जो आप स्लाइड देखेंगे मैं स्क्रिन सेयर कर रहा हु उसमें आपको नजर आएगा,सबसे पहले जो आप स्लाइड देखेंगे मैंक स्क्रीन शेयर कर रहा हूं उसमें आपको नजर आएगा,सबसे पहले जो आप फ्लाइड देखेंगे मैं एक स्क्रीन शेअयर कर रहा हूँ उसमें आपको नज़र आएगा,सबसे पहले जो आप स्लाइड देखेंगे मैं क स्क्रीन शेयर कर रहा हूँ उसमें आपको नजर आएगा
02000210001_chunk_079.wav,पालन का काम म कर रहा है खासतौर से भैसों में नौवजात पशुओं की मृत्यु के अवसर बहुत ज्यादा होते हैं,पालन का काम कर रहा है खासतौर से भैसों में नौजात पशुओं की मृत्यु के अवसर बहुत ज्यादा होता ै,पालन का काम कर रहा है खासौर से भतु में नवजात पशुओं की मृत्यु के अवसर बहुत ज़्यादा होते हैं,पालन का काम कर रहा है खास तौर से भैसओं में नौजात पशुओं की मृत्यु के अवसर बहुत ज्यादा होते हैं
02000210001_chunk_083.wav,एक के बाद एक म चर्चा करें कि कयों ऐसा होता है सबसे पहले हम बात कहते हैं कि भैसों की स्थिति क्या है,एकएक केबाद एक हम चर्चा करें कि क्यों ऐसा होता है सबसे पहले हम बात कहते हैं कि भैसों की स्थिति क्या है,एक एकके बाद एक हम चर्चा करें कि चू ऐसा होता है सबसे पहले हम बात करते हैं कि भ्रैंसों की स्थिति क्या है,एक के बाद एक हम चर्चा करें कि च्यों ऐसा होता है सबसे पहले हम बात करते हैं कि भैसों की स्थिति क्या है
02000210001_chunk_092.wav,हम भैसों हम और भैसों की संख्या में पूरे विश्व में प्राथमिक है और ये पहला पायदान यही ज्याद कर क्षमता नहीं है,कि हम बैसों और बैसों की संख्या में पूरे विश्व में प्रथम है और ये पहला पायदान यही जाकर ्छमता नहीं है,हम भैंसों और भैंसों की संख्या में पूरे विश्व में प्रथम है और ये पहला पैदान यही जाते क्षमता नहीं था है,ह भैसो और भैसों की संख्या में पूरे विश्व में प्रथम है कोई ये पहला पायतान यहीं जाकर क्षमता नहीं है
02000210001_chunk_093.wav,हम दुग्ध उत्पादन में भी पहले नंबर पर हैं पूरे विश्व में भारत श्वेक्रांति के जो पताका है उसको ठहरा रहा है,ैं हम दुग्ध उत्पादन में भी पहले नंबर पर हं पूरे विश्व में भारत श्वेक क्रांति के जो पताका है उसको ठहरा रहा है,हम दुख उत्पादन में भी पहले नंबर पर हैं पूरे विश्व में भारत सेवेक क्रांति की जो पता का है उसको सहरा रहा है,हम दु्ध उत्पादन में भी पहले नंबर पर हैं पूरे विश्व में भारत ेक क्रांति की जो पताका है उसको फहरा रहा है
02000210001_chunk_096.wav,भारत में पूरे मूल्क में प्रतिशत से ज्यादा हिस्सा भैसों के जरिए आता है,भारत में गुलमुल् में प्रतिशत से ज्यादा हिस्सा भेसों के जरिये आता है,भारत में बुुरमुल्क में पिश्पन प्रतिशत से ज़्यादा इसका भहंसों के ज़रिए आता है,भारत में पूरे मुल्ख में पिचपन प्रतिशत से ज्यादा हिस्सा देशों के जरिए आता है
02000210001_chunk_100.wav,स्थानीय हैं और वो दूध देनेवाली नसल है नही नहीं ज्यादातर मसले हमारे,स्थानीय है और वो दूध देने वाली नसल ही नहीं ज्यादातर मसले हमारे,स्थानीय है और वो दूध देने वाली नस्ल है ही नहीं ज़्यादातर नस्लें हमारे,स्थानीय है और वो दूध देने वाली नसले तह ही नहीं ज्यादातर नसले हमारे
02000210001_chunk_116.wav,स्वाद में थोड़ा सा भैसों के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ासा भैसों के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ा सा भ्रेसों के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि,स्वाद में थोड़ा सा प्रेशो के मुकाबले हल्का होता है लेकिन हम ये भी बात मानते हैं कि
02000210001_chunk_143.wav,और सबसे इंप्रूवमेंट बात तो आज हम चर्चा करने वाले हैं कि पैसों के पाड़े पाडियों में शिशुओं में बच्चो में,और सबसे इम्पोर्टेंट था जो आज हम चर्चा करने वाले हैं कि बैसों के पारेपाडियों में शिशुओं व वस्सों में,और सबसे इमपोर्टेंट बादत ज आज हम चर्चा करने वाले हैं कि भैंसों के पड़े पड़ियों में शिशुओं में वस्तों में,और सबसे इंपोर्टेंट बात तो आज हम चर्चा करने वाले हैं कि बैसों के पारे पाियों में शिशुओं में वस्तों में
02000210001_chunk_153.wav,हमारे मालवे ने कहावत हम मालवा में गांव में जाते हैं तो ह बात करते मालवा वासियों से,हमारे मालवी ने कहा बचे हम मालवा में गांव में जाते हैं तो ह बात करते मालवावासियों से,हमारे मालवी में कहावत है हम मालवा में गाँव में जाते हैं तो हम बात करते मालवा बाचियों से,हमारे एक मालवी में कहा बचे हम मालवा में गाँव में जाते हैं तो हम बात करतेमालवा वासियों से
02000210001_chunk_161.wav,जो चालीस प्रतिशत जो मौतें होती हैं वो ये होत क जो भैंस से माता से जो बच्चा पल़ रहा है,जो चाी प्रतिशत चो मौतें होती हैं वो ये होती हैं कि जो भैस से माता से जो बच्चा पल रहा है,जो चालीस प्रटीशत जो मौत होती हैं वो ये होती है कि जो भैंस से माता से जो बच्चा पढ़ रहा है,जो चालीस प्रतिशत जो मौतें होती है वो ये हती कि जो फैस से माता से जो बच्चा पड़ रहा है
02000210001_chunk_163.wav,तो माता के शरीर से इमिनोग्लोगलिन के रूप में,तो माता के शरीर से इमिनोग्लोगलिन के रूप में,तो माता की शरीर से ईमिनक् लबलन के रूप में,तो माता के शरीर से इमिनोग्लोबलिन के रूप में
02000210001_chunk_164.wav,वो शिशुों में नहीं पहुंच पाती है जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेंट रेजिस्टेंस पावर मिलना चाहिए,वो शिशुओं में नहीं पहुंच पाती है जब शिशु पैदा होता है तो माता से जो उसे जो रेडिमेंट रेजिस्टेंस पावर मिलना चाहिए,वो शिशु में नहीं पहुँच पाती अब जब शशु पैदा होता है तो माता से जो उसे जो रेडीमेड रजिस्ट्रनस पावर मिलना चाहिए,वो शिशुओं में नहीं पहुंच पातीब जब शिशु पैदा होता है तो माता से जो उसे जो रेडीमेट रेजिस्टरेंस पावर मिलना चाहिए
02000210001_chunk_172.wav,हम इस आंकड़े को पच्चपन प्रतिशत से घटाकर पाच् दशमलव नो पाच पर्सेंट यानी छह पर्सेंट तक कम कर सकते हैं,हम इस आंकड़े को पचन प्रतिशत से घटाकर ाँच दशमलव नौपाँच पर्सेंट यानी छह पर्सेंट तक कम कर सकते हैं,हम इस आँकड़े को पिच्पन प्रतिशत से घटा कर पाँच किशमल और नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं,हम इस आंकड़े को पचपन प्रतिशत से घटाकर पाँच दशमलव नौ पाँच परसेंट यानि छः परसेंट तक कम कर सकते हैं
02000210001_chunk_175.wav,सबसे पहला कारण मैंने आपको बताया था कि नवजात में,है सबसे बहला कारण तुम्ैंने आपको बताया था कि नवजात में,सबसे पहला कारण तो मैंने आपको बताया था किर नवजत में,सबसे पहला कारं ट मैंने आपको बताया था कि नवजात में
02000210001_chunk_196.wav,जैसे ही बच्चा आप प्रसुति हो गई भैसों की खास केर के गाय मे भी आप तुरंत पहले घंटे में,से ही बच्चा प्रसुति होगि महइसकी कातों से गायब होगी आप तुरंत पहले घंटे में,जैसे ही बच्चा आप कासूती होगी महं इस के ख कर से जाायों के लिए आप तुरंत पहले घंटे में,ैसेी बच्चा प्सुती होगी मैं स की कापकोसे गायो के लिए आप तुरंत पहले घंटे में
02000210001_chunk_207.wav,जो नरवत्स होता है वो बेचारा उसको दूधी ही नहीं पिलाते है उसको उतना ही दूध पिलाते हैं कि जस उसके थन पर ले जाकर उसको छोड़ेंगे,ए जो नरवत्स होता है वो बेचारा उसको दूधी नहीपिलातेउसको उतना ही तो पिलाते हैं कि जस उसके ठंड पर ले जाएकर उसको छोड़ेंगे,जो नर्वदस होता है वो बेचारा उसको दूध ही नहीं पिलाते हैं उसको उतना ही दूध पिलाते हैं कि जब उसके थन पर ले जाके उसको छोड़ेंगे,जुंदर बस्सो होता है वो बेचा रा उसको दूरी नहीं पिलाते हैं उसको उतना ही तो पिलाते हैं कि जस उसके ठन पर ले जाएगे उसको छोड़ेंगे
02000210001_chunk_270.wav,उसके साथ मे ये मतलब उनको पटनी ही होगा,उसके साथ मेये ये मतलब उनको पठनी ही होगा,उसके साथ म ये ये मतलब उनको पटने ही होगा,उसके साथ मेंलये ये मतलब उनको पटनीय होगा
02000210001_chunk_272.wav,तो प्रिंट मीडए जगह कोई कोई जोड़ नहीं है दूसरीे की मै ये कहा आ हमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,धो ब्रिलिव प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूसरी में कहराहों कि आप हम लोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा,तो प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूसर लिएिए मैं कह रहा हूँ कि आप हम लोग प्रकाशित करेंगे तो ज़्यादा बेहतर होगा,तो प्रिं प्रिंट मीडिया का कोई कोई जोड़ नहीं है दूइसलि मे कह रा हो कि आपहमलोग प्रकाशित करेंगे तो ज्यादा बेहतर होगा
02000210001_chunk_320.wav,जो तीसरे दिन हमने किया था यानी जो कि रेजीन पैरा कीं द्रव और नॉरप्रॉसिसन का एक कोर्स किया था,नाै जो तीसरे भी नम ने किया था यानी जो पिबरेजीन पैरातीनद्राव और नॉरप्रॉक्सीसिन का एक कोर्स किया था,जो तीसरे भी नामने किया था यान जो पिपरेजीन पैलाफंद्रव और नॉर्थ प्रऑक्सिसन का एक कोर्स किया था,जो तीसरे दिन हम ने किया था यानी जो पिपरेजीन पैरातीन द्राओ और नॉर प्ॉक्ससीन का एक कोर्स किया था
02000210001_chunk_322.wav,अब सातवें दिन पे अब हमारे पास कोलेस्ट्रम नहीं है,अब सातवे दिन पे अब हमारे पास कोलेस्ट्रम नहीं है,अब चतव दिन प अब हमारे पास पल स्टम नहीं है,अब सातवें दिन पे अब हमारे पास कॉलेस्ट्रम नहीं है
02000210001_chunk_330.wav,भैंसों के बच्चों में ऑक्सी डियोसिस नाम की बीमारी होती है,े अभैसों के बच्चों में ऑक्सीडियोसिस नाम की बीमारी होती है,भैंसों के बच्चों में ऑक्सीडिो से स्नान की बीमारी होती है,बैसों के बच्चों में पक्सिडियोसीसनान की बीमारी होती ै
02000210001_chunk_334.wav,तो तय किजिये कि जो महत्वपूर्ण महत्व का पशु है,तो तय जानिए कि जो महत्वपूर्ण महत्व का पशु ुो,तो कह जाान कि जो महत्वपूर्ण महत्व का पशु है,तो त जाने कि जो महत्वपण महत्व का पशु है
02000210001_chunk_338.wav,इसलिए आपको इस कोर्स को करना चाहिए पशु चिकित्सक की निगरानी में करें तो बेहतर पर और mineral मिक्चर और विटामिन ए,इसलिए आपको इस कोर्स को करना चाहिए पशुचिकित्सक की निगरानी में करें तो बेहतर पुरहामिदरल मेश्चर और विटामिन ए,इसलिए आपको इस कोर्स को करना चाहिए पशु चिलष की निदरानी में करें तो बेहतर पर हाँ मिनरल मिक्स्चर और विटामिन ए,इसलिए आपको इस कोर्स को करना चाहिए पशु चिकित्सक की निगरानी में करेंतो भेतरे परहाँ मिदरल मेस्टर और विटामिन ए
02000210001_chunk_339.wav,ये पशुओं को मिनरल मिक्सचर बी कॉंमप्लेक्स दे ये तो सोने में सुहागा जैसी बात होगी,ये पशुओं को मिंद्रल मिक्सरदे भी कॉम्पलेक्स थे फी तो सोने में सुहाला जैसी बात होगी,ये पशुओं को मिंद्रल मिक्सर दें बी कॉम्प्ले दें तो य तो सोने में सुहागाा जैसी बात होगी,ये पशुओं को मिंरल मिक्सर देै भी कॉंप्लेक्स से ती तो सोने में सुधार ा जैसी बात होगी
02000210001_chunk_340.wav,आप उसकी जीने के आसार को और बढ़ाते जाएंगे तो ये मैं अपना,आप उसके जीने के आसार को और बढ़ाते जाइंए तो ये मैं अपना,आप उसके जीने के आजात हो और बढ़ाते जाएंगे तो य मैं अपना,आप उसके जीने के आसार को और बढ़ाते जाइंए तो ये मैं अपना
02000210001_chunk_346.wav,तो मेरा पहला प्रश्न ये है,तो मेरा पहला प्रश्न ये है,तो मेरा पहला प्रश्न ये है,तो मेरा पहला प्रश्न ये है
02000210001_chunk_352.wav,जो कृषक जगत द्वारा प्रकाशित की गई है यह हम आपको उपहार स्वरूप भेजेंगे आप अपना कमेंट बॉक्स में,प जो कृषक जगत द्वारा प्रकाशित की गई है यह हम आपको ओंपहार स्वरूप भेजेंगे आप अपना कमेंट बॉक्स में,जो कषक जगत द्वारा प्रकाशित की गई है ये हम आपको उपहार स्वरूम भेजेंगे आप उतना कमेंट बॉक् में,डोकोशक जगत द्वारा प्रकाशित की गई है ये हम आपको पार सवरूप भेजेंगे आप उतना कमेंट बॉक्स में
02000210001_chunk_356.wav,सबसे पहला उत्तर,सबसे पहला उत्तर,सबसे पहला उत्तर,सबसे पहला उत्तर
